Year,Leading Cause,Sex,Race Ethnicity,Fatality
2013,"Essential Hypertension and Renal Diseases (I10, I12)",F,Other Race/ Ethnicity,8
2014,"Essential Hypertension and Renal Diseases (I10, I12)",F,Asian and Pacific Islander,29
2007,"Chronic Liver Disease and Cirrhosis (K70, K73)",M,Other Race/ Ethnicity,.
2013,All Other Causes,M,White Non-Hispanic,2293
2008,"Accidents Except Drug Posioning (V01-X39, X43, X45-X59, Y85-Y86)",M,Black Non-Hispanic,146
2007,Malignant Neoplasms (Cancer: C00-C97),M,Not Stated/Unknown,45
2008,Cerebrovascular Disease (Stroke: I60-I69),M,Hispanic,124
2009,"Diseases of Heart (I00-I09, I11, I13, I20-I51)",F,Asian and Pacific Islander,448
2011,"Mental and Behavioral Disorders due to Accidental Poisoning and Other Psychoactive Substance Use (F11-F16, F18-F19, X40-X42, X44)",M,Hispanic,145
2012,Diabetes Mellitus (E10-E14),F,Not Stated/Unknown,15
2007,"Accidents Except Drug Posioning (V01-X39, X43, X45-X59, Y85-Y86)",M,Other Race/ Ethnicity,5
2010,"Accidents Except Drug Posioning (V01-X39, X43, X45-X59, Y85-Y86)",M,White Non-Hispanic,271
2010,"Accidents Except Drug Posioning (V01-X39, X43, X45-X59, Y85-Y86)",F,White Non-Hispanic,163
2014,Septicemia (A40-A41),M,Not Stated/Unknown,8
2010,Malignant Neoplasms (Cancer: C00-C97),M,Not Stated/Unknown,46
2014,"Diseases of Heart (I00-I09, I11, I13, I20-I51)",F,Not Stated/Unknown,95
2008,"Mental and Behavioral Disorders due to Accidental Poisoning and Other Psychoactive Substance Use (F11-F16, F18-F19, X40-X42, X44)",M,Hispanic,172
2008,Malignant Neoplasms (Cancer: C00-C97),M,Black Non-Hispanic,1464
2008,"Essential Hypertension and Renal Diseases (I10, I12)",F,Other Race/ Ethnicity,.
2013,Diabetes Mellitus (E10-E14),M,Black Non-Hispanic,300
2007,Malignant Neoplasms (Cancer: C00-C97),M,Asian and Pacific Islander,528
2009,All Other Causes,F,Other Race/ Ethnicity,11
2007,Diabetes Mellitus (E10-E14),F,White Non-Hispanic,231
2008,Certain Conditions originating in the Perinatal Period (P00-P96),F,Other Race/ Ethnicity,.
2009,Influenza (Flu) and Pneumonia (J09-J18),M,White Non-Hispanic,555
2014,Human Immunodeficiency Virus Disease (HIV: B20-B24),F,Black Non-Hispanic,102
2011,Cerebrovascular Disease (Stroke: I60-I69),M,Hispanic,147
2013,Septicemia (A40-A41),F,Asian and Pacific Islander,16
2009,Chronic Lower Respiratory Diseases (J40-J47),M,Black Non-Hispanic,147
2007,Aortic Aneurysm and Dissection (I71),F,Not Stated/Unknown,.
2007,Cerebrovascular Disease (Stroke: I60-I69),M,Other Race/ Ethnicity,7
2009,Cerebrovascular Disease (Stroke: I60-I69),F,Other Race/ Ethnicity,.
2012,"Diseases of Heart (I00-I09, I11, I13, I20-I51)",F,Hispanic,1263
2013,"Accidents Except Drug Posioning (V01-X39, X43, X45-X59, Y85-Y86)",F,White Non-Hispanic,166
2014,Human Immunodeficiency Virus Disease (HIV: B20-B24),F,Not Stated/Unknown,7
2012,Aortic Aneurysm and Dissection (I71),F,Other Race/ Ethnicity,.
2007,Influenza (Flu) and Pneumonia (J09-J18),F,Black Non-Hispanic,295
2012,"Accidents Except Drug Posioning (V01-X39, X43, X45-X59, Y85-Y86)",M,Hispanic,191
2009,Influenza (Flu) and Pneumonia (J09-J18),F,Hispanic,216
2010,Malignant Neoplasms (Cancer: C00-C97),M,Hispanic,1057
2010,"Assault (Homicide: Y87.1, X85-Y09)",M,Other Race/ Ethnicity,.
2011,Diabetes Mellitus (E10-E14),F,Black Non-Hispanic,410
2011,Diabetes Mellitus (E10-E14),F,Asian and Pacific Islander,51
2013,"Chronic Liver Disease and Cirrhosis (K70, K73)",M,Not Stated/Unknown,16
2007,"Diseases of Heart (I00-I09, I11, I13, I20-I51)",F,Black Non-Hispanic,2722
2008,"Chronic Liver Disease and Cirrhosis (K70, K73)",M,Hispanic,149
2013,"Essential Hypertension and Renal Diseases (I10, I12)",M,Asian and Pacific Islander,33
2008,"Essential Hypertension and Renal Diseases (I10, I12)",F,Black Non-Hispanic,192
2012,Diabetes Mellitus (E10-E14),F,Other Race/ Ethnicity,9
2013,Chronic Lower Respiratory Diseases (J40-J47),F,Not Stated/Unknown,9
2007,Chronic Lower Respiratory Diseases (J40-J47),M,Other Race/ Ethnicity,.
2010,"Diseases of Heart (I00-I09, I11, I13, I20-I51)",M,White Non-Hispanic,4495
2012,"Diseases of Heart (I00-I09, I11, I13, I20-I51)",M,Black Non-Hispanic,1940
2008,Malignant Neoplasms (Cancer: C00-C97),F,White Non-Hispanic,3366
2014,Influenza (Flu) and Pneumonia (J09-J18),F,White Non-Hispanic,563
2009,"Accidents Except Drug Posioning (V01-X39, X43, X45-X59, Y85-Y86)",M,Other Race/ Ethnicity,.
2014,"Essential Hypertension and Renal Diseases (I10, I12)",F,White Non-Hispanic,180
2010,Diabetes Mellitus (E10-E14),M,Not Stated/Unknown,7
2009,Malignant Neoplasms (Cancer: C00-C97),M,Not Stated/Unknown,47
2010,Cerebrovascular Disease (Stroke: I60-I69),F,Not Stated/Unknown,.
2008,"Chronic Liver Disease and Cirrhosis (K70, K73)",F,Hispanic,63
2007,"Mental and Behavioral Disorders due to Accidental Poisoning and Other Psychoactive Substance Use (F11-F16, F18-F19, X40-X42, X44)",M,Not Stated/Unknown,10
2008,Malignant Neoplasms (Cancer: C00-C97),F,Not Stated/Unknown,36
2007,All Other Causes,F,Black Non-Hispanic,1230
2007,Cerebrovascular Disease (Stroke: I60-I69),F,Black Non-Hispanic,279
2009,"Accidents Except Drug Posioning (V01-X39, X43, X45-X59, Y85-Y86)",F,Asian and Pacific Islander,37
2012,Septicemia (A40-A41),M,Other Race/ Ethnicity,6
2014,Malignant Neoplasms (Cancer: C00-C97),F,Black Non-Hispanic,1852
2007,Influenza (Flu) and Pneumonia (J09-J18),M,White Non-Hispanic,530
2011,Malignant Neoplasms (Cancer: C00-C97),F,Not Stated/Unknown,11
2014,"Diseases of Heart (I00-I09, I11, I13, I20-I51)",M,Asian and Pacific Islander,554
2008,Aortic Aneurysm and Dissection (I71),M,Other Race/ Ethnicity,.
2010,Mental and Behavioral Disorders due to Use of Alcohol (F10),M,Other Race/ Ethnicity,.
2014,"Assault (Homicide: Y87.1, X85-Y09)",M,Black Non-Hispanic,186
2009,Certain Conditions originating in the Perinatal Period (P00-P96),F,Not Stated/Unknown,.
2010,Influenza (Flu) and Pneumonia (J09-J18),M,Hispanic,235
2010,"Diseases of Heart (I00-I09, I11, I13, I20-I51)",F,Black Non-Hispanic,2282
2008,Cerebrovascular Disease (Stroke: I60-I69),F,Asian and Pacific Islander,65
2009,"Diseases of Heart (I00-I09, I11, I13, I20-I51)",M,Other Race/ Ethnicity,38
2010,Insitu or Benign / Uncertain Neoplasms (D00-D48),F,Not Stated/Unknown,.
2007,"Accidents Except Drug Posioning (V01-X39, X43, X45-X59, Y85-Y86)",M,White Non-Hispanic,297
2011,Chronic Lower Respiratory Diseases (J40-J47),F,Hispanic,156
2010,"Essential Hypertension and Renal Diseases (I10, I12)",F,Other Race/ Ethnicity,.
2012,Diabetes Mellitus (E10-E14),F,Asian and Pacific Islander,57
2014,Influenza (Flu) and Pneumonia (J09-J18),M,Not Stated/Unknown,14
2007,Mental and Behavioral Disorders due to Use of Alcohol (F10),M,Not Stated/Unknown,.
2010,Malignant Neoplasms (Cancer: C00-C97),M,Asian and Pacific Islander,526
2013,All Other Causes,M,Hispanic,1193
2014,All Other Causes,M,Black Non-Hispanic,1375
2011,"Mental and Behavioral Disorders due to Accidental Poisoning and Other Psychoactive Substance Use (F11-F16, F18-F19, X40-X42, X44)",M,Not Stated/Unknown,5
2012,"Mental and Behavioral Disorders due to Accidental Poisoning and Other Psychoactive Substance Use (F11-F16, F18-F19, X40-X42, X44)",M,Not Stated/Unknown,7
2011,Influenza (Flu) and Pneumonia (J09-J18),F,Black Non-Hispanic,273
2010,Influenza (Flu) and Pneumonia (J09-J18),F,Black Non-Hispanic,275
2012,Chronic Lower Respiratory Diseases (J40-J47),F,Not Stated/Unknown,8
2012,Cerebrovascular Disease (Stroke: I60-I69),M,Hispanic,129
2014,Human Immunodeficiency Virus Disease (HIV: B20-B24),M,Other Race/ Ethnicity,10
2009,"Accidents Except Drug Posioning (V01-X39, X43, X45-X59, Y85-Y86)",M,Asian and Pacific Islander,55
2008,Certain Conditions originating in the Perinatal Period (P00-P96),M,Not Stated/Unknown,6
2014,Chronic Lower Respiratory Diseases (J40-J47),F,White Non-Hispanic,515
2012,Cerebrovascular Disease (Stroke: I60-I69),M,Asian and Pacific Islander,70
2007,All Other Causes,F,Hispanic,820
2009,"Assault (Homicide: Y87.1, X85-Y09)",M,Black Non-Hispanic,255
2012,Malignant Neoplasms (Cancer: C00-C97),F,Asian and Pacific Islander,461
2011,Parkinson's Disease (G20),F,Not Stated/Unknown,.
2011,Cerebrovascular Disease (Stroke: I60-I69),M,White Non-Hispanic,290
2014,Cerebrovascular Disease (Stroke: I60-I69),M,Black Non-Hispanic,197
2010,All Other Causes,F,Hispanic,1007
2013,"Intentional Self-Harm (Suicide: X60-X84, Y87.0)",F,Other Race/ Ethnicity,5
2011,"Intentional Self-Harm (Suicide: X60-X84, Y87.0)",F,Other Race/ Ethnicity,.
2007,"Nephritis, Nephrotic Syndrome and Nephrisis (N00-N07, N17-N19, N25-N27)",F,White Non-Hispanic,89
2014,Malignant Neoplasms (Cancer: C00-C97),F,Other Race/ Ethnicity,66
2010,Diabetes Mellitus (E10-E14),F,Other Race/ Ethnicity,7
2013,"Diseases of Heart (I00-I09, I11, I13, I20-I51)",F,White Non-Hispanic,4535
2010,Diabetes Mellitus (E10-E14),F,Hispanic,219
2014,Malignant Neoplasms (Cancer: C00-C97),M,Black Non-Hispanic,1532
2009,All Other Causes,M,Other Race/ Ethnicity,18
2009,"Chronic Liver Disease and Cirrhosis (K70, K73)",M,Hispanic,119
2012,Septicemia (A40-A41),F,White Non-Hispanic,113
2008,Diabetes Mellitus (E10-E14),M,Other Race/ Ethnicity,.
2007,Chronic Lower Respiratory Diseases (J40-J47),F,Hispanic,116
2013,Malignant Neoplasms (Cancer: C00-C97),M,Asian and Pacific Islander,633
2010,Influenza (Flu) and Pneumonia (J09-J18),M,Other Race/ Ethnicity,6
2013,Chronic Lower Respiratory Diseases (J40-J47),F,Asian and Pacific Islander,27
2012,Alzheimer's Disease (G30),F,Hispanic,126
2011,"Diseases of Heart (I00-I09, I11, I13, I20-I51)",F,White Non-Hispanic,5016
2008,All Other Causes,F,Asian and Pacific Islander,214
2008,"Mental and Behavioral Disorders due to Accidental Poisoning and Other Psychoactive Substance Use (F11-F16, F18-F19, X40-X42, X44)",F,White Non-Hispanic,86
2008,Cerebrovascular Disease (Stroke: I60-I69),M,Black Non-Hispanic,206
2013,Diabetes Mellitus (E10-E14),M,Not Stated/Unknown,19
2010,"Essential Hypertension and Renal Diseases (I10, I12)",F,Black Non-Hispanic,252
2013,"Diseases of Heart (I00-I09, I11, I13, I20-I51)",F,Not Stated/Unknown,106
2009,Alzheimer's Disease (G30),F,Hispanic,56
2014,Diabetes Mellitus (E10-E14),F,Hispanic,209
2008,Chronic Lower Respiratory Diseases (J40-J47),M,Black Non-Hispanic,169
2014,Cerebrovascular Disease (Stroke: I60-I69),M,White Non-Hispanic,277
2012,"Diseases of Heart (I00-I09, I11, I13, I20-I51)",F,Black Non-Hispanic,2269
2010,"Essential Hypertension and Renal Diseases (I10, I12)",F,Asian and Pacific Islander,33
2010,"Diseases of Heart (I00-I09, I11, I13, I20-I51)",M,Other Race/ Ethnicity,52
2008,Human Immunodeficiency Virus Disease (HIV: B20-B24),M,Hispanic,222
2011,Septicemia (A40-A41),F,Not Stated/Unknown,.
2008,Chronic Lower Respiratory Diseases (J40-J47),F,Black Non-Hispanic,191
2010,"Mental and Behavioral Disorders due to Accidental Poisoning and Other Psychoactive Substance Use (F11-F16, F18-F19, X40-X42, X44)",M,Hispanic,138
2011,All Other Causes,M,White Non-Hispanic,2165
2009,"Chronic Liver Disease and Cirrhosis (K70, K73)",M,Asian and Pacific Islander,17
2008,Chronic Lower Respiratory Diseases (J40-J47),F,Other Race/ Ethnicity,.
2012,Malignant Neoplasms (Cancer: C00-C97),M,Not Stated/Unknown,53
2012,Diabetes Mellitus (E10-E14),M,Black Non-Hispanic,308
2008,All Other Causes,M,White Non-Hispanic,1824
2014,"Diseases of Heart (I00-I09, I11, I13, I20-I51)",M,Other Race/ Ethnicity,63
2013,"Mental and Behavioral Disorders due to Accidental Poisoning and Other Psychoactive Substance Use (F11-F16, F18-F19, X40-X42, X44)",M,Hispanic,188
2013,Certain Conditions originating in the Perinatal Period (P00-P96),M,Not Stated/Unknown,25
2012,All Other Causes,F,Other Race/ Ethnicity,22
2013,Chronic Lower Respiratory Diseases (J40-J47),M,Asian and Pacific Islander,72
2007,Diabetes Mellitus (E10-E14),M,Hispanic,177
2014,Influenza (Flu) and Pneumonia (J09-J18),F,Other Race/ Ethnicity,9
2011,Malignant Neoplasms (Cancer: C00-C97),F,White Non-Hispanic,3371
2011,Cerebrovascular Disease (Stroke: I60-I69),M,Black Non-Hispanic,200
2012,Diabetes Mellitus (E10-E14),M,Other Race/ Ethnicity,8
2013,Malignant Neoplasms (Cancer: C00-C97),F,Black Non-Hispanic,1784
2008,"Essential Hypertension and Renal Diseases (I10, I12)",M,Other Race/ Ethnicity,.
2010,Influenza (Flu) and Pneumonia (J09-J18),F,Other Race/ Ethnicity,.
2007,Influenza (Flu) and Pneumonia (J09-J18),M,Hispanic,189
2009,Chronic Lower Respiratory Diseases (J40-J47),M,White Non-Hispanic,371
2007,Insitu or Benign / Uncertain Neoplasms (D00-D48),F,Not Stated/Unknown,.
2012,Malignant Neoplasms (Cancer: C00-C97),F,Not Stated/Unknown,36
2012,Chronic Lower Respiratory Diseases (J40-J47),F,Asian and Pacific Islander,39
2007,Malignant Neoplasms (Cancer: C00-C97),F,Other Race/ Ethnicity,22
2012,Human Immunodeficiency Virus Disease (HIV: B20-B24),M,Hispanic,103
2011,"Diseases of Heart (I00-I09, I11, I13, I20-I51)",F,Other Race/ Ethnicity,31
2007,Cerebrovascular Disease (Stroke: I60-I69),M,Black Non-Hispanic,213
2009,Chronic Lower Respiratory Diseases (J40-J47),F,Not Stated/Unknown,7
2014,Chronic Lower Respiratory Diseases (J40-J47),M,Asian and Pacific Islander,95
2011,Certain Conditions originating in the Perinatal Period (P00-P96),M,Asian and Pacific Islander,19
2009,Malignant Neoplasms (Cancer: C00-C97),F,Hispanic,1097
2009,"Chronic Liver Disease and Cirrhosis (K70, K73)",M,Not Stated/Unknown,10
2009,Alzheimer's Disease (G30),F,Not Stated/Unknown,.
2012,Cerebrovascular Disease (Stroke: I60-I69),M,White Non-Hispanic,285
2011,"Diseases of Heart (I00-I09, I11, I13, I20-I51)",M,Hispanic,1201
2011,Chronic Lower Respiratory Diseases (J40-J47),M,Other Race/ Ethnicity,.
2012,"Accidents Except Drug Posioning (V01-X39, X43, X45-X59, Y85-Y86)",F,Not Stated/Unknown,.
2009,"Essential Hypertension and Renal Diseases (I10, I12)",M,White Non-Hispanic,148
2013,Diabetes Mellitus (E10-E14),F,Hispanic,221
2011,Malignant Neoplasms (Cancer: C00-C97),M,Not Stated/Unknown,27
2013,Viral Hepatitis (B15-B19),F,Asian and Pacific Islander,15
2009,"Mental and Behavioral Disorders due to Accidental Poisoning and Other Psychoactive Substance Use (F11-F16, F18-F19, X40-X42, X44)",M,Other Race/ Ethnicity,.
2014,"Diseases of Heart (I00-I09, I11, I13, I20-I51)",M,Not Stated/Unknown,115
2009,"Diseases of Heart (I00-I09, I11, I13, I20-I51)",F,White Non-Hispanic,6297
2011,Human Immunodeficiency Virus Disease (HIV: B20-B24),M,Hispanic,162
2014,Malignant Neoplasms (Cancer: C00-C97),F,Asian and Pacific Islander,502
2012,All Other Causes,M,Hispanic,1199
2011,"Essential Hypertension and Renal Diseases (I10, I12)",M,Black Non-Hispanic,154
2012,"Diseases of Heart (I00-I09, I11, I13, I20-I51)",M,Other Race/ Ethnicity,39
2008,Diabetes Mellitus (E10-E14),F,Black Non-Hispanic,380
2011,All Other Causes,M,Black Non-Hispanic,1337
2007,Human Immunodeficiency Virus Disease (HIV: B20-B24),F,Not Stated/Unknown,5
2010,Chronic Lower Respiratory Diseases (J40-J47),M,Black Non-Hispanic,202
2012,Influenza (Flu) and Pneumonia (J09-J18),F,Other Race/ Ethnicity,6
2010,All Other Causes,M,Other Race/ Ethnicity,25
2014,Cerebrovascular Disease (Stroke: I60-I69),F,White Non-Hispanic,418
2008,Human Immunodeficiency Virus Disease (HIV: B20-B24),F,Black Non-Hispanic,227
2010,Septicemia (A40-A41),F,Not Stated/Unknown,.
2008,Diabetes Mellitus (E10-E14),F,Hispanic,228
2013,Chronic Lower Respiratory Diseases (J40-J47),F,White Non-Hispanic,521
2013,"Accidents Except Drug Posioning (V01-X39, X43, X45-X59, Y85-Y86)",M,Hispanic,189
2012,Influenza (Flu) and Pneumonia (J09-J18),M,Asian and Pacific Islander,76
2011,"Accidents Except Drug Posioning (V01-X39, X43, X45-X59, Y85-Y86)",F,Asian and Pacific Islander,43
2010,"Intentional Self-Harm (Suicide: X60-X84, Y87.0)",F,Asian and Pacific Islander,17
2011,"Mental and Behavioral Disorders due to Accidental Poisoning and Other Psychoactive Substance Use (F11-F16, F18-F19, X40-X42, X44)",M,Black Non-Hispanic,135
2012,Influenza (Flu) and Pneumonia (J09-J18),F,Asian and Pacific Islander,74
2013,Influenza (Flu) and Pneumonia (J09-J18),F,Hispanic,204
2013,Malignant Neoplasms (Cancer: C00-C97),F,Other Race/ Ethnicity,43
2011,"Diseases of Heart (I00-I09, I11, I13, I20-I51)",F,Asian and Pacific Islander,402
2014,"Chronic Liver Disease and Cirrhosis (K70, K73)",F,Hispanic,66
2009,Diabetes Mellitus (E10-E14),F,White Non-Hispanic,229
2013,All Other Causes,M,Black Non-Hispanic,1341
2012,Malignant Neoplasms (Cancer: C00-C97),F,Hispanic,1125
2011,"Intentional Self-Harm (Suicide: X60-X84, Y87.0)",F,Asian and Pacific Islander,21
2010,"Essential Hypertension and Renal Diseases (I10, I12)",F,Not Stated/Unknown,5
2007,"Nephritis, Nephrotic Syndrome and Nephrisis (N00-N07, N17-N19, N25-N27)",F,Asian and Pacific Islander,13
2014,Cerebrovascular Disease (Stroke: I60-I69),M,Hispanic,165
2007,Influenza (Flu) and Pneumonia (J09-J18),F,Asian and Pacific Islander,58
2010,Alzheimer's Disease (G30),F,White Non-Hispanic,247
2013,Septicemia (A40-A41),F,White Non-Hispanic,135
2008,"Diseases of Heart (I00-I09, I11, I13, I20-I51)",M,Hispanic,1330
2008,Cerebrovascular Disease (Stroke: I60-I69),M,Asian and Pacific Islander,48
2008,Chronic Lower Respiratory Diseases (J40-J47),F,Not Stated/Unknown,.
2008,Cerebrovascular Disease (Stroke: I60-I69),F,Black Non-Hispanic,267
2011,"Diseases of Heart (I00-I09, I11, I13, I20-I51)",F,Not Stated/Unknown,43
2011,"Essential Hypertension and Renal Diseases (I10, I12)",M,White Non-Hispanic,142
2010,All Other Causes,F,Other Race/ Ethnicity,27
2012,"Nephritis, Nephrotic Syndrome and Nephrisis (N00-N07, N17-N19, N25-N27)",F,Asian and Pacific Islander,22
2011,Diabetes Mellitus (E10-E14),F,Hispanic,196
2009,All Other Causes,F,Black Non-Hispanic,1305
2011,Alzheimer's Disease (G30),F,Black Non-Hispanic,90
2012,"Accidents Except Drug Posioning (V01-X39, X43, X45-X59, Y85-Y86)",F,Hispanic,60
2010,"Diseases of Heart (I00-I09, I11, I13, I20-I51)",F,White Non-Hispanic,5351
2013,Malignant Neoplasms (Cancer: C00-C97),M,White Non-Hispanic,3132
2008,All Other Causes,F,White Non-Hispanic,1706
2014,All Other Causes,F,Asian and Pacific Islander,339
2007,Diabetes Mellitus (E10-E14),M,Other Race/ Ethnicity,11
2007,"Diseases of Heart (I00-I09, I11, I13, I20-I51)",F,Asian and Pacific Islander,428
2013,Malignant Neoplasms (Cancer: C00-C97),F,White Non-Hispanic,3187
2013,"Essential Hypertension and Renal Diseases (I10, I12)",F,Not Stated/Unknown,7
2011,Malignant Neoplasms (Cancer: C00-C97),M,Asian and Pacific Islander,550
2007,Chronic Lower Respiratory Diseases (J40-J47),M,Not Stated/Unknown,.
2007,"Diseases of Heart (I00-I09, I11, I13, I20-I51)",M,Other Race/ Ethnicity,36
2012,Alzheimer's Disease (G30),F,Other Race/ Ethnicity,.
2009,"Mental and Behavioral Disorders due to Accidental Poisoning and Other Psychoactive Substance Use (F11-F16, F18-F19, X40-X42, X44)",F,White Non-Hispanic,75
2012,Chronic Lower Respiratory Diseases (J40-J47),F,White Non-Hispanic,507
2009,"Essential Hypertension and Renal Diseases (I10, I12)",F,White Non-Hispanic,215
2014,Cerebrovascular Disease (Stroke: I60-I69),F,Not Stated/Unknown,10
2008,"Assault (Homicide: Y87.1, X85-Y09)",M,Not Stated/Unknown,8
2014,Diabetes Mellitus (E10-E14),M,Not Stated/Unknown,8
2007,"Accidents Except Drug Posioning (V01-X39, X43, X45-X59, Y85-Y86)",M,Asian and Pacific Islander,53
2009,Diabetes Mellitus (E10-E14),F,Black Non-Hispanic,384
2012,Cerebrovascular Disease (Stroke: I60-I69),F,Not Stated/Unknown,9
2007,Malignant Neoplasms (Cancer: C00-C97),F,Not Stated/Unknown,51
2011,All Other Causes,F,Asian and Pacific Islander,278
2009,All Other Causes,M,Black Non-Hispanic,1246
2013,"Accidents Except Drug Posioning (V01-X39, X43, X45-X59, Y85-Y86)",M,Black Non-Hispanic,159
2014,"Intentional Self-Harm (Suicide: X60-X84, Y87.0)",M,Asian and Pacific Islander,50
2008,"Mental and Behavioral Disorders due to Accidental Poisoning and Other Psychoactive Substance Use (F11-F16, F18-F19, X40-X42, X44)",M,White Non-Hispanic,227
2011,"Assault (Homicide: Y87.1, X85-Y09)",M,Black Non-Hispanic,266
2007,"Accidents Except Drug Posioning (V01-X39, X43, X45-X59, Y85-Y86)",F,Other Race/ Ethnicity,.
2013,All Other Causes,F,Asian and Pacific Islander,320
2014,Cerebrovascular Disease (Stroke: I60-I69),F,Asian and Pacific Islander,112
2009,Diabetes Mellitus (E10-E14),M,Hispanic,172
2013,"Essential Hypertension and Renal Diseases (I10, I12)",M,White Non-Hispanic,156
2008,"Congenital Malformations, Deformations, and Chromosomal Abnormalities (Q00-Q99)",M,Asian and Pacific Islander,14
2010,Chronic Lower Respiratory Diseases (J40-J47),M,Other Race/ Ethnicity,5
2008,"Intentional Self-Harm (Suicide: X60-X84, Y87.0)",F,Asian and Pacific Islander,26
2010,Diabetes Mellitus (E10-E14),M,White Non-Hispanic,245
2014,"Intentional Self-Harm (Suicide: X60-X84, Y87.0)",F,Other Race/ Ethnicity,5
2012,"Assault (Homicide: Y87.1, X85-Y09)",M,Other Race/ Ethnicity,.
2014,"Accidents Except Drug Posioning (V01-X39, X43, X45-X59, Y85-Y86)",F,Not Stated/Unknown,.
2008,"Assault (Homicide: Y87.1, X85-Y09)",M,Other Race/ Ethnicity,5
2009,"Diseases of Heart (I00-I09, I11, I13, I20-I51)",F,Black Non-Hispanic,2535
2014,Chronic Lower Respiratory Diseases (J40-J47),M,Not Stated/Unknown,14
2010,"Essential Hypertension and Renal Diseases (I10, I12)",M,Black Non-Hispanic,178
2013,All Other Causes,F,Not Stated/Unknown,79
2010,"Assault (Homicide: Y87.1, X85-Y09)",M,Black Non-Hispanic,299
